"Project name","ID","Country","Partners","Project type","Announcement","FID","Operation","Suspension/decommissioning","Project Status","Project phase","Announced capacity (Mt CO2/yr)","Estimated capacity by IEA (Mt CO2/yr)","Sector","Fate of carbon","Part of CCUS hub","Region","Ref 1","Ref 2","Ref 3","Ref 4","Ref 5","Ref 6","Ref 7","Link 1","Link 2","Link 3","Link 4","Link 5","Link 6","Link 7"
"Ash Grove Cement Foreman Plant (AR)",1129,"United States","Southern States Energy Board, DOE Office of Clean Energy Demonstrations","Full chain",2023,,,,"Planned",,1.4,1.4,"Cement","Dedicated storage",,"North America","https://www.energy.gov/oced/carbon-capture-demonstration-projects-program-front-end-engineering-design-feed-studies",,,,,,,"Link 1","","","","","",""
"Asnæs Power Station",756,"Denmark","Orsted, Aker CC (tech), NCC (construction)","Capture",2022,2023,2026,,"Under construction",,0.28,0.28,"Power and heat","Dedicated storage","Northern Lights","Europe","https://orsted.com/en/media/newsroom/news/2023/05/20230515676011","https://www.bioenergy-news.com/news/orsted-bids-danish-biomass-fired-cogeneration-plants-into-carbon-capture-tender/","https://orsted.com/en/media/newsroom/news/2023/12/oersted-begins-construction-of-denmarks-first-carb-13757543","https://news.cision.com/ncc/r/ncc-contracted-by-orsted-to-construct-carbon-capture-plant-in-denmark,c3906317",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"Athabasca Banks Carbon Hub (ALB)",496,"Canada"," Vault 44.01 Ltd. and Moraine Initiatives Ltd.","Storage",2022,2024,2027,,"Planned",,,,"Storage","Dedicated storage","Athabasca Banks Carbon Hub (ALB)","North America",,,,,,,,"","","","","","",""
"Athabasca Leismer project (ALB)",607,"Canada","Entropy Inc, Athabasca Oil Corporation","Full chain",2022,,2025,,"Planned",,0.44,0.44,"Other fuel transformation","Unknown/unspecified",,"North America","https://www.eralberta.ca/projects/details/entropy-carbon-capture-and-sequestration-of-in-situ-oil-production-process-at-athabascas-leismer-facility/","https://financialpost.com/commodities/energy/oil-gas/athabasca-oil-carbon-capture-project-oilsands",,,,,,"Link 1","Link 2","","","","",""
"Atlantic Coast CO2 Emissions Storage Sink (ACCESS) (FL)",973,"United States","Southern States Energy Board","Storage",2023,,,,"Planned",,,,"Storage","Dedicated storage","Project ACCESS (FL)","North America","https://www.energy.gov/fecm/project-selections-foa-2711-carbon-storage-validation-and-testing-round-2","https://omniamidstream.com/project/permian-regional-carbon-sequestration-prcs-hub",,,,,,"Link 1","Link 2","","","","",""
"Atlas Carbon Sequestration Hub Phase 1 (Shell's Polaris Carbon Capture project Shell hub) (ALB)",39,"Canada","Shell Canada Limited","Full chain",2021,2024,2025,,"Planned",1,0.75,0.75,"Other fuel transformation","Dedicated storage","Atlas Carbon Sequestration Hub (ALB)","North America","https://www.linkedin.com/pulse/alberta-selects-shell-suncor-atco-atlas-carbon-hub-proposal-/","https://www.beaver.ab.ca/public/download/files/231170","https://www.keyera.com/investors/news/keyera-and-shell-sign-agreement-to-advance-clean-energy/",,,,,"Link 1","Link 2","Link 3","","","",""
"Atlas Carbon Sequestration Hub Phase 2 (ALB)",40,"Canada","Shell Canada Limited, ATCO Energy Solutions, Suncor Energy","T&S",2022,,2025,,"Planned",2,9.25,9.25,"T&S","Dedicated storage","Atlas Carbon Sequestration Hub (ALB)","North America","https://www.upstreamonline.com/energy-transition/shell-unveils-plans-for-giant-canadian-carbon-capture-and-storage-project/2-1-1039795","https://www.shell.ca/en_ca/about-us/projects-and-sites/scotford.html","https://www.shell.ca/en_ca/media/news-and-media-releases/news-releases-2021/shell-proposes-large-scale-ccs-facility-in-alberta.html","https://www.energyvoice.com/renewables-energy-transition/ccs/americas-ccs/336709/shell-polaris-ccs-alberta/","https://www.linkedin.com/pulse/alberta-selects-shell-suncor-atco-atlas-carbon-hub-proposal-/?trk=organization-update-content_share-article",,,"Link 1","Link 2","Link 3","Link 4","Link 5","",""
"Augusta C2 ",687,"Italy-Greece","Buzzi Unicem Spa","Transport",2022,,2029,,"Planned",,0.2,0.2,"Transport","Dedicated storage","Augusta-C2/Prinos CO2 storage","Europe","https://zeroemissionsplatform.eu/wp-content/uploads/Detailed_information_regarding_the_candidate_projects_CO2_networks_Dec_2022_v2.pdf",,,,,,,"Link 1","","","","","",""
"Aukra Hydrogen Hub",41,"Norway","Aker Horizons, Shell, CapeOmega","Full chain",2021,2024,2030,,"Planned",,,,"Hydrogen or ammonia","Unknown/unspecified",,"Europe","https://news.cision.com/aker-clean-hydrogen/r/aker-clean-hydrogen-to-explore-hydrogen-production-facility-opportunities-in-aukra-in-norway,c3382436","https://akerhorizons.com/what-we-do/aukra/",,,,,,"Link 1","Link 2","","","","",""
"Avedøre Power Station CCS",42,"Denmark","Orsted, Aker CC (tech)","Capture",2021,2023,2026,,"Under construction",1,0.15,0.15,"Power and heat","Dedicated storage","Northern Lights","Europe","https://orsted.com/en/media/newsroom/news/2021/06/857452362384936","https://orsted.com/en/media/newsroom/news/2022/06/20220613532911","https://orsted.com/en/media/newsroom/news/2022/06/20220613532911","https://akercarboncapture.com/?cision_id=E626D6BD3CFDB96F","https://orsted.com/en/media/newsroom/news/2023/12/oersted-begins-construction-of-denmarks-first-carb-13757543",,,"Link 1","Link 2","Link 3","Link 4","Link 5","",""
"Avedøre Power Station CCU (Green Fuels for Denmark)",757,"Denmark","Orsted","CCU",2021,,2026,,"Planned",2,,,"Power and heat","Use",,"Europe","https://orsted.com/en/media/newsroom/news/2022/12/13666863","https://orsted.com/en/media/newsroom/news/2021/06/857452362384936",,,,,,"Link 1","Link 2","","","","",""
"Babcock & Wilcox’s (LA)",830,"United States","Babcock & Wilcox’s, CGI Gases (CO2 offtaker, transport), General Hydrogen (H2 offtaker)","Capture",2023,,2026,,"Planned",,,,"Hydrogen or ammonia","Unknown/unspecified",,"North America","https://www.power-eng.com/hydrogen/hydrogen-co2-to-be-produced-at-babcock-wilcox-biomass-fueled-plant/#gref",,,,,,,"Link 1","","","","","",""
