"Project name","ID","Country","Partners","Project type","Announcement","FID","Operation","Suspension/decommissioning","Project Status","Project phase","Announced capacity (Mt CO2/yr)","Estimated capacity by IEA (Mt CO2/yr)","Sector","Fate of carbon","Part of CCUS hub","Region","Ref 1","Ref 2","Ref 3","Ref 4","Ref 5","Ref 6","Ref 7","Link 1","Link 2","Link 3","Link 4","Link 5","Link 6","Link 7"
"CNPC China Northwest hub refinery hydrogen (Xinjiang) ",99,"People's Republic of China","CNPC, OGCI","Capture",2019,2024,2025,,"Planned",,1,1,"Other fuel transformation","EOR","CNPC China Northwest hub (Xinjiang)","Other Asia Pacific","https://www.ogci.com/action-and-engagement/removing-carbon-dioxide-ccus/our-kickstarter-hubs/#hub4","https://www.ogci.com/new-ogci-report-on-ccus-in-china/",,,,,,"Link 1","Link 2","","","","",""
"CO2 capture at Coal Creek (ND)",100,"United States","EERC, NDIC, Rainbow Energy, Mitshubishi HI, Kiewit","Capture",2021,2025,,,"Planned",,,,"Power and heat","Dedicated storage","Coal creek capture: site characterisation and permitting (ND)","North America","https://insideclimatenews.org/news/17072021/north-dakota-coal-energy-transition-jobs-carbon-capture/",,,,,,,"Link 1","","","","","",""
"CO2 capture at Duke Energy's East Bend Station (KY)",700,"United States","EPRI, MTR","Capture",2018,,,,"Planned",,,,"Power and heat","EOR",,"North America","https://netl.doe.gov/sites/default/files/netl-file/D-Dillon-EPRI-East-Bend-Membrane.pdf",,,,,,,"Link 1","","","","","",""
"CO2 TO METHANOL Finnfjord Ferrosilicon",101,"Norway","Statkraft, Carbon Recycling International","CCU",2017,2024,,,"Planned",,0.3,0.3,"Iron and steel","Use",,"Europe","https://www.carbonrecycling.is/projects#finnfjord-emethanol","https://industrienergi.no/nyhet/finnfjord-vil-lage-fiskefor-av-co2/",,,,,,"Link 1","Link 2","","","","",""
"CO2 TransPorts phase 2 (cross-border pipeline, phase 1 is Portos and Antwerp?)",664,"Netherlands","Port of Rotterdam, port of Antwerp, North Sea Port, Fluxys, Gasunie","Transport",2022,,,,"Planned",1,5,5,"Transport","Dedicated storage","CO2TransPorts","Europe","https://ec.europa.eu/eusurvey/runner/Consultation_PCIcandidates_CO2networks",,,,,,,"Link 1","","","","","",""
"CO2 TransPorts phase 2 (cross-border pipeline, phase 1 is Portos and Antwerp?)",665,"Netherlands","Port of Rotterdam, port of Antwerp, North Sea Port, Fluxys, Gasunie","Transport",2022,,,,"Planned",1,,,"Transport","Dedicated storage","CO2TransPorts","Europe","https://ec.europa.eu/eusurvey/runner/Consultation_PCIcandidates_CO2networks",,,,,,,"Link 1","","","","","",""
"CO2MENT LafargeHolcim Florence (CO)",253,"United States","Electricore, Svante, Holcim Group, Oxy Low Carbon Venture (Occidental), TotalEnergies","Full chain",2020,,2025,,"Planned",,"0.7 - 1.5",1.5,"Cement","Dedicated storage",,"North America","https://energynorthern.com/2020/09/18/further-development-of-co2ment-project/","https://www.holcim.com/joint-carbon-capture-project-usa-plant","https://www.linkedin.com/posts/bob-slettehaugh_we-are-excited-to-be-working-with-holcim-activity-6925459018538700800-H4-M?utm_source=linkedin_share&utm_medium=member_desktop_web","https://www.holcim.com/media/media-releases/joint-carbon-capture-project-usa-plant",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"CO2NEXT terminal phase 1",950,"Germany","Vopak, Gasunie","Transport",,,,,"Planned",,5.4,5.4,"Transport","Dedicated storage","Aramis CCS","Europe",,,,,,,,"","","","","","",""
"CO2NEXT terminal phase 2",951,"Germany","Vopak, Gasunie","Transport",,,,,"Planned",2,10.3,10.3,"Transport","Dedicated storage","Aramis CCS","Europe",,,,,,,,"","","","","","",""
"CO2NNECTION Central Appalachian Basin hub (OH, PA, WV)",1009,"United States","Battelle","Transport",2023,,,,"Planned",,,,"Transport","Unknown/unspecified","CO2NNECTION Central Appalachian Basin hub/Appalachian basin storage MoU (OH, PA, WV)","North America","https://www.energy.gov/fecm/articles/doe-invests-45-million-reduce-carbon-pollution#:~:text=WASHINGTON%2C%20D.C.%20%E2%80%94%20The%20U.S.%20Department,successful%20carbon%20transport%20and%20storage","https://www.energy.gov/fecm/project-selections-foa-2614-carbon-management-round-3",,,,,,"Link 1","Link 2","","","","",""
"CO2nnectNow HES Wilhelmshaven Tank Terminal phase 1",527,"Germany","Wintershall Dea","Transport",2022,,2028,,"Planned",,10,10,"Transport","Dedicated storage","CO2nnectNow HES Wilhelmshaven Tank Terminal","Europe","https://wintershalldea.com/en/newsroom/wintershall-dea-and-hes-wilhelmshaven-tank-terminal-intend-jointly-develop-co2-hub-wilhelmshaven",,,,,,,"Link 1","","","","","",""
"CO2NTESSA",1138,"Croatia","Nexe Group,  ThyssenKrupp Group, and Nasice cement","Capture",2023,,2029,,"Planned",,0.7,0.7,"Cement","Dedicated storage","Geothermal CCS Croatia","Europe","https://www.nexe.hr/en/co2ntessa/",,,,,,,"Link 1","","","","","",""
"Coal creek capture: site characterisation and permitting (ND)",963,"United States","University of North Dakota","Storage",2021,2025,,,"Planned",,,,"Storage","Dedicated storage","Coal creek capture: site characterisation and permitting (ND)","North America","https://netl.doe.gov/carbon-management/carbon-storage/carbonsafe/publications",,,,,,,"Link 1","","","","","",""
"Coastal Bend Carbon Management Project (TX)",711,"United States","Port of Corpus Christi, Talos Energy, Howard Energy Partners, Texas A&M University System","Storage",2022,,,,"Planned",,"1 - 1.5",1.5,"Storage","Dedicated storage","Coastal Bend Carbon Management Partnership (TX)","North America","https://portofcc.com/port-of-corpus-christi-enters-into-agreement-with-talos-energy-and-howard-energy-partners-for-carbon-capture-and-sequestration-opportunities/","https://portofcc.com/port-of-corpus-christi-awarded-16-4m-in-carbonsafe-grants-from-u-s-department-of-energy/","https://www.energy.gov/fecm/project-selections-foa-2610-carbonsafe-phase-ii-storage-complex-feasibility","https://www.energy.gov/fecm/project-selections-foa-2610-carbonsafe-phase-ii-storage-complex-feasibility",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"Coastal Bend Offshore CO2 Storage (TX)",712,"United States","Port of Corpus Christi, 1845 Carbon Storage LLC, Strategic Sequestration Development LLC, University of Texas Bureau of Economic Geology’s Gulf Coast Carbon Center","Storage",2023,,,,"Planned",,,,"Storage","Dedicated storage","Corpus Christi offshore storage (TX)","North America","https://portofcc.com/port-of-corpus-christi-awarded-16-4m-in-carbonsafe-grants-from-u-s-department-of-energy/","https://www.energy.gov/fecm/project-selections-foa-2610-carbonsafe-phase-ii-storage-complex-feasibility",,,,,,"Link 1","Link 2","","","","",""
"CO-Creator Pilot Startup program DACCS",939,"Iceland","COWI, Removr","Capture",2023,,,,"Planned",,0.1,0.1,"DAC","Dedicated storage",,"Europe","https://www.removr.no/news/cowi-to-support-removrs-first-commercial-daccs-plants-in-iceland",,,,,,,"Link 1","","","","","",""
"Coda terminal Phase 1",102,"Iceland","Carbfix, Dan-unity CO2","T&S",2021,2024,2026,,"Planned",1,0.5,0.5,"T&S","Dedicated storage","Coda terminal","Europe","https://www.carbfix.com/codaterminal","https://bcforum.net/presentations2021/0301_K%C3%A1ri_Helgason.pdf","https://www.linkedin.com/posts/carbfix_eu-cinea-environment-activity-7021767287204409344-DI_z/?utm_source=share&utm_medium=member_desktop",,,,,"Link 1","Link 2","Link 3","","","",""
"Coda terminal Phase 2",103,"Iceland","Carbfix, Dan-unity CO2","T&S",2021,,2028,,"Planned",2,0.5,0.5,"T&S","Dedicated storage","Coda terminal","Europe","https://www.carbfix.com/codaterminal","https://bcforum.net/presentations2021/0301_K%C3%A1ri_Helgason.pdf","https://www.linkedin.com/posts/carbfix_eu-cinea-environment-activity-7021767287204409344-DI_z/?utm_source=share&utm_medium=member_desktop",,,,,"Link 1","Link 2","Link 3","","","",""
"Coda terminal phase 3",104,"Iceland","Carbfix, Dan-unity CO2","T&S",2021,,2031,,"Planned",3,2,2,"T&S","Dedicated storage","Coda terminal","Europe","https://www.carbfix.com/codaterminal","https://bcforum.net/presentations2021/0301_K%C3%A1ri_Helgason.pdf","https://www.linkedin.com/posts/carbfix_eu-cinea-environment-activity-7021767287204409344-DI_z/?utm_source=share&utm_medium=member_desktop",,,,,"Link 1","Link 2","Link 3","","","",""
"Coffeyville fertiliser Plant (KS)",105,"United States","Coffeyville Resources, Chaparral Energy, Coffeyville Resource Nitrogen Fertilizers","Full chain",2011,2011,2013,,"Operational",,"0.7 - 0.9",0.9,"Chemicals","EOR",,"North America","https://www.geos.ed.ac.uk/sccs/project-info/89","https://www.globenewswire.com/news-release/2011/03/29/443163/10562/en/Chaparral-Energy-Agrees-to-a-CO2-Purchase-and-Sale-Agreement-With-CVR-Energy-for-Capture-of-CO2-for-Enhanced-Oil-Recovery.html","https://sequestration.mit.edu/tools/projects/coffeyville.html","https://ghgdata.epa.gov/ghgp/service/facilityDetail/2021?id=1010975&ds=A&et=&popup=true",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"Colleferro plant",732,"Italy","Heidelberg Materials","Capture",2018,,,,"Planned",,,,"Cement","Unknown/unspecified",,"Europe","https://www.heidelbergmaterials.com/en/ecra-oxyfuel",,,,,,,"Link 1","","","","","",""
"Combined Carbon Capture Solution on Air Liquide Northern California Steam Methane Reformer (CA)",749,"United States","Electricore Inc., Air Liquide","Capture",2022,,,,"Planned",,,,"Hydrogen or ammonia","Unknown/unspecified",,"North America","https://www.energy.gov/fecm/additional-selections-funding-opportunity-announcement-2400-clean-hydrogen-production-storage",,,,,,,"Link 1","","","","","",""
"Commonwealth LNG CCS (LA)",956,"United States","Commonwealth LNG, OnStream CO2 LLC (JV between Carbonvert Inc, Castex Carbon Solutions LLC) (own, design, operate capture)","Capture",2023,2024,2027,,"Planned",,,,"Natural gas processing/LNG","Dedicated storage","Cameron Parish CO2 Hub (LA)","North America","https://commonwealthlng.com/commonwealth-lng-signs-carbon-capture-and-storage-mou-with-onstream-co2/",,,,,,,"Link 1","","","","","",""
"Competitive Power Ventures CCGT (WV)",518,"United States","Competitive Power Ventures","Capture",2021,,,,"Planned",,,,"Power and heat","Unknown/unspecified",,"North America","https://www.cpv.com/2022/09/16/multi-billion-dollar-combined-cycle-natural-gas-power-station-with-carbon-capture-announced-in-west-virginia/",,,,,,,"Link 1","","","","","",""
"Connah's Quay",1110,"United Kingdom","Uniper","Capture",2021,,2030,,"Planned",,,,"Power and heat","Dedicated storage","Liverpool Bay CO2 storage (Hynet)","Europe","https://www.uniper.energy/connahs-quay-low-carbon-power",,,,,,,"Link 1","","","","","",""
"Co-op Belle Plaine Ethanol Complex (SK)",573,"Canada","Federated Co-operatives (FCL), Whitecap Resources Inc. (MoU with FCL to capture, transport and store)","Capture",2021,,2024,,"Planned",,,,"Biofuels","Dedicated storage","Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn)","North America","https://www.fcl.crs/news-reports/news/article/fcl-exploring-carbon-capture-with-whitecap-to-meet-emissions","https://www.newswire.ca/news-releases/whitecap-resources-inc-partners-with-federated-co-operatives-limited-to-reduce-co2-emissions-in-saskatchewan-807417476.html",,,,,,"Link 1","Link 2","","","","",""
"Co-op Renewable Diesel Complex (SK)",572,"Canada","Federated Co-operatives (FCL), Fluor and Whitecap Resources Inc.","Capture",2021,2024,2027,,"Planned",,,,"Biofuels","Dedicated storage","Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn)","North America","https://www.fcl.crs/news-reports/news/article/fcl-exploring-carbon-capture-with-whitecap-to-meet-emissions","https://www.newswire.ca/news-releases/whitecap-resources-inc-partners-with-federated-co-operatives-limited-to-reduce-co2-emissions-in-saskatchewan-807417476.html",,,,,,"Link 1","Link 2","","","","",""
"Core Energy CO2-EOR South Chester plant (MI)",106,"United States","Core Energy","Full chain",,,2003,,"Operational",,0.35,0.35,"Natural gas processing/LNG","EOR",,"North America","https://www.osti.gov/servlets/purl/1547301","https://ghgdata.epa.gov/ghgp/service/facilityDetail/2020?id=1010117&ds=A&et=&popup=true",,,,,,"Link 1","Link 2","","","","",""
"Cormorant Clean Energy project (TX)",1020,"United States","8 Rivers, Casale","Capture",2024,2025,2027,,"Planned",,1.4,1.4,"Hydrogen or ammonia","Dedicated storage",,"North America","https://8rivers.com/8-rivers-8rh2-ultra-low-carbon-hydrogen-technology-announcement/","https://cormorant.energy/",,,,,,"Link 1","Link 2","","","","",""
"Corn LP Goldfield biorefinery (IA)",107,"United States","Corn LP, Summit Carbon Solutions","Capture",2021,2024,2025,,"Planned",,"0.18 - 0.22",0.215,"Biofuels","Dedicated storage","Midwest carbon express","North America","https://www.summitcarbonsolutions.com/our-partners","https://www.reuters.com/markets/commodities/giant-pipeline-us-midwest-tests-future-carbon-capture-2021-11-23/","https://www.summitcarbonsolutions.com/news/scsexpansionannouncement",,,,,"Link 1","Link 2","Link 3","","","",""
"Corporation Energy Blue Ammonia/hydrogen Baidaratskaya Bay",108,"Russia","Corporation Energy, Toyo Engineering Corporation, Itochu Plantech Inc, Others","Full chain",2021,,2025,,"Planned",,,,"Hydrogen or ammonia","Unknown/unspecified",,"Eurasia",,,,,,,,"","","","","","",""
"Corporation Energy Blue Ammonia/hydrogen Seyakha",109,"Russia","Corporation Energy, Toyo Engineering Corporation, Itochu Plantech Inc, Others","Full chain",2021,,2026,,"Planned",,,,"Hydrogen or ammonia","Unknown/unspecified",,"Eurasia",,,,,,,,"","","","","","",""
"Corpus Christi carbon storage hub (TX)",863,"United States","Repsol (operator), Carbonvert, MEPUSA (Mitsui E&P USA), POSCO","Storage",2023,,,,"Planned",,20,20,"Storage","Dedicated storage","Corpus Christi carbon storage hub (TX)","North America",,,,,,,,"","","","","","",""
"Corpus Christi CO2 pipeline (TX)",863,"United States","Enbridge (transport), Oxy low carbon ventures (Occidental) (Storage)","Transport",2022,,2028,,"Planned",,,,"Transport","Unknown/unspecified","Corpus Christi CO2 pipeline","North America",,,,,,,,"","","","","","",""
"Corvus (WY)",886,"United States","ExxonMobil (formerly Denbury carbon solutions)","Storage",2022,,2026,,"Planned",,"2 - 5",5,"Storage","Unknown/unspecified","Denbury Rock Mountains Hub (WY)","North America","https://www.denbury.com/operations/carbon-solutions/carbon-sequestration/",,,,,,,"Link 1","","","","","",""
"CORY EfW plant Belvedere",110,"United Kingdom","Cory","Full chain",2021,,2030,,"Planned",,"1.3 - 1.5",1.3,"Power and heat","Dedicated storage","Viking CCS","Europe","https://www.corygroup.co.uk/media/news-insights/cory-announces-plans-worlds-biggest-energy-waste-decarbonisation-project/","https://www.letsrecycle.com/news/cory-in-187m-accounting-loss-despite-record-2021/","https://www.harbourenergy.com/news-and-media/latest-news/2023/cory-group-sign-exclusive-agreement-with-viking-ccs/","https://www.corygroup.co.uk/media/news-insights/cory-launches-statutory-consultation-decarbonisation-plans/","https://www.corygroup.co.uk/media/news-insights/cory-launches-statutory-consultation-decarbonisation-plans/",,,"Link 1","Link 2","Link 3","Link 4","Link 5","",""
"Coyote Clean Power Project (CO)",111,"United States","8Rivers, Southern Ute Indian Reservation","Full chain",2021,2024,2025,,"Planned",,0.865,0.865,"Power and heat","Unknown/unspecified",,"North America","https://www.powermag.com/inside-net-power-gas-power-goes-supercritical/",,,,,,,"Link 1","","","","","",""
"CPNC coal power Baijiantan Karamay (Xinjiang)",931,"People's Republic of China","CNPC","Full chain",2023,2023,2027,,"Under construction",,2,2,"Power and heat","EOR","CNPC China Northwest hub (Xinjiang)","Other Asia Pacific","https://finance.sina.com.cn/esg/2023-08-27/doc-imzirrzz3229002.shtml",,,,,,,"Link 1","","","","","",""
"Crawford Nickel",1119,"Canada","Canada Nickel Company Inc.","CCU",2023,2025,,,"Planned",,1.5,1.5,"Other industry","Use",,"North America","https://www.newswire.ca/news-releases/canada-nickel-announces-integration-of-carbon-capture-amp-storage-into-crawford-nickel-sulphide-project-845167884.html","https://carbonherald.com/canada-nickel-confirms-strong-ccs-value-of-crawford-project/",,,,,,"Link 1","Link 2","","","","",""
"CRP Haifeng Project (Guangdong)",112,"People's Republic of China","China Resources Power","Capture",2013,,2030,,"Planned",1,1,1,"Power and heat","Unknown/unspecified",,"Other Asia Pacific","http://www.gdccus.org/en/nd.jsp?id=560","https://new.qq.com/rain/a/20201016A0DS3100","https://www.cr-power.com/news/news3/202002/t20200225_532026.html",,,,,"Link 1","Link 2","Link 3","","","",""
"Cstore 1",520,"Australia","deepC-store (dev and operator), Mitsui (for shipping), Technip Energies (TEN) (pre-FEED for hub facility)","T&S",2021,,,,"Planned",,"1.5 - 7.5",7.5,"T&S","Dedicated storage","Cstore 1","Australia and New Zealand","https://www.deepcstore.com/news/australian-ccs-conference-2021","https://www.deepcstore.com/cstore1","https://www.deepcstore.com/news/deepc-store-signs-loi-with-mol-and-ten-floating-ccs-hub-development",,,,,"Link 1","Link 2","Link 3","","","",""
"CTSCo Project",114,"Australia","Glencore Carbon Transport and Storage Company (CTSCo), China Huaneng (capture tech, MoU)","Full chain",2010,2022,2026,,"Under construction",,0.11,0.11,"Power and heat","Dedicated storage",,"Australia and New Zealand","https://www.ctsco.com.au/","https://www.heiderefinery.com/en/energy-transition-large-scale-hydrogen-technology-project-qualifies-for-the-next-round","https://www.glencore.com/media-and-insights/news/china-huaneng-and-glencore-sign-mou-on-ccus-project",,,,,"Link 1","Link 2","Link 3","","","",""
"Cygnus (WY)",887,"United States","ExxonMobil (formerly Denbury carbon solutions)","Storage",2022,,2027,,"Planned",,"2 - 5",5,"Storage","Unknown/unspecified","Denbury Rock Mountains Hub (WY)","North America","https://www.denbury.com/operations/carbon-solutions/carbon-sequestration/",,,,,,,"Link 1","","","","","",""
"Cypress Carbon Capture Project (LA)",1128,"United States","Taft Carbon Capture, DOE Office of Clean Energy Demonstrations","Capture",2023,,,,"Planned",,2.6,2.6,"Power and heat","Dedicated storage",,"North America","https://www.energy.gov/oced/carbon-capture-demonstration-projects-program-front-end-engineering-design-feed-studies",,,,,,,"Link 1","","","","","",""
"Cypress DAC Hub (LA)",747,"United States","Battelle, Climeworks, Heirloom Carbon, Gulf Coast Sequestration (T&S provider)","Capture",2023,,2030,,"Planned",,1,1,"DAC","Dedicated storage","Gulf Coast Sequestration Hub (LA)","North America","https://www.battelle.org/insights/newsroom/press-release-details/battelle-climeworks-heirloom-carbon-gulf-coast-sequestration-bid-on-direct-air-capture-hub-for-department-of-energy",,,,,,,"Link 1","","","","","",""
"Dakota Ethanol Wentworth biorefinery (SD)",117,"United States","Dakota Ethanol, Summit Carbon Solutions","Capture",2021,2024,2025,,"Planned",,"0.22 - 0.26",0.257,"Biofuels","Dedicated storage","Midwest carbon express","North America","https://www.summitcarbonsolutions.com/our-partners","https://www.reuters.com/markets/commodities/giant-pipeline-us-midwest-tests-future-carbon-capture-2021-11-23/","https://www.summitcarbonsolutions.com/news/scsexpansionannouncement",,,,,"Link 1","Link 2","Link 3","","","",""
"Dakota H2 Hub (ND)",118,"United States","Bakken Energy, Mitsubishi HI (as Mitsubishi Power Americas), Mandan, Hidatsa, and Arikara Nation","Full chain",2021,,2027,,"Planned",,,,"Hydrogen or ammonia","Dedicated storage",,"North America","https://www.greencarcongress.com/2021/08/20210819-bakken.html","https://www.bakkenenergy.com/press-releases/mha-nation-partnering-with-bakken-energy-and-mitsubishi-power-on-great-plains-hydrogen-hub/","https://www.ammoniaenergy.org/articles/decarbonising-the-great-plains-synfuel-plant/",,,,,"Link 1","Link 2","Link 3","","","",""
"Dalstur Energy Coal India coal hydrogen",120,"India","Dalstur Energy (Kolkata), Coal India (CIL)","Capture",2022,,,,"Planned",,,,"Hydrogen or ammonia","Unknown/unspecified",,"Other Asia Pacific","https://energy.economictimes.indiatimes.com/news/coal/dastur-energy-to-set-up-blue-hydrogen-unit-with-coal-india/91455574",,,,,,,"Link 1","","","","","",""
"Damhead Creek CCGT power station",569,"United Kingdom","Oilex","Capture",2022,,,,"Planned",,,,"Power and heat","Dedicated storage","Medway Hub CCS","Europe","https://www.synergiaenergy.com/sites/synergia-energy-ltd/files/synergia-energy-ltd/operations/united-kingdom/medway-hub-ccs-r7-we.pdf",,,,,,,"Link 1","","","","","",""
"D'Artagnan Dunkirk CO2 Hub Phase 1",121,"France","ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide","Transport",2021,,2027,,"Planned",1,3,3,"Transport","Dedicated storage","D'Artagnan/Nautilus","Europe","https://ec.europa.eu/energy/maps/pci_fiches/PciFiche_12.8.pdf","https://ec.europa.eu/energy/sites/default/files/detailed_information_regarding_the_candidate_projects_in_co2_network.pdf","https://energy.ec.europa.eu/news/connecting-europe-facility-over-eu-600-million-energy-infrastructure-support-european-green-deal-and-2022-12-08_en","https://energy.ec.europa.eu/news/connecting-europe-facility-nearly-eu600-million-energy-infrastructure-contributing-decarbonisation-2023-12-08_en",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"D'Artagnan Dunkirk CO2 Hub Phase 2",122,"France","ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide","Transport",2021,,2031,,"Planned",2,1.4,1.4,"Transport","Dedicated storage","D'Artagnan/Nautilus","Europe","https://ec.europa.eu/energy/maps/pci_fiches/PciFiche_12.8.pdf","https://ec.europa.eu/energy/sites/default/files/detailed_information_regarding_the_candidate_projects_in_co2_network.pdf","https://energy.ec.europa.eu/news/connecting-europe-facility-over-eu-600-million-energy-infrastructure-support-european-green-deal-and-2022-12-08_en","https://energy.ec.europa.eu/news/connecting-europe-facility-nearly-eu600-million-energy-infrastructure-contributing-decarbonisation-2023-12-08_en",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"D'Artagnan Dunkirk CO2 Hub Phase 3",123,"France","ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide","Transport",2021,,2035,,"Planned",3,5.6,5.6,"Transport","Dedicated storage","D'Artagnan/Nautilus","Europe","https://ec.europa.eu/energy/maps/pci_fiches/PciFiche_12.8.pdf","https://ec.europa.eu/energy/sites/default/files/detailed_information_regarding_the_candidate_projects_in_co2_network.pdf","https://energy.ec.europa.eu/news/connecting-europe-facility-over-eu-600-million-energy-infrastructure-support-european-green-deal-and-2022-12-08_en","https://energy.ec.europa.eu/news/connecting-europe-facility-nearly-eu600-million-energy-infrastructure-contributing-decarbonisation-2023-12-08_en",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"Daya Bay CCS Hub (Guangdong)",442,"People's Republic of China","Shell, ExxonMobil, CNOOC, and Guangdong Provincial Development & Reform Commission (JSA)","T&S",2022,,,,"Planned",,10,10,"T&S","Dedicated storage","Daya Bay CCS Hub","Other Asia Pacific","https://www.shell.com.cn/en_cn/media/media-releases/2022-media-releases/shell-partners-with-cnooc-guangdong-government-exxonmobil-on-offshore-carbon-capture-and-storage-hub-in-china.html","https://www.linkedin.com/posts/jasonwongshell_ccs-poweringprogress-activity-7021325298562437121-tk54/?utm_source=share&utm_medium=member_desktop",,,,,,"Link 1","Link 2","","","","",""
"Delaware Basin project (TX)",996,"United States","Milestone carbon (Milestone Envrionmental services)","Storage",2023,,,,"Planned",,,,"Storage","Dedicated storage","Delaware Basin project (TX)","North America","https://www.milestone-es.com/About-Us/News-and-Events/Milestone-Carbon-Announces-Land-Agreement-for-Carbon-Hub-Development-in-the-Permian-Basin/",,,,,,,"Link 1","","","","","",""
"Delta Rhyne Corridor ",126,"Netherlands-Germany","Shell, Port of Rotterdam, bp, RWE, thyssenkrupp, LyondellBasell, Heidelberg Materials, Attero and Chemelot","Transport",2021,2024,2027,,"Planned",,22,22,"Transport","Dedicated storage",,"Europe","https://www.shell.nl/media/persberichten/2022-media-releases/delta-corridor-links-industry-with-clean-h2-and-offshore-ccs-sol.html","https://www.shell.nl/media/persberichten/2022-media-releases/delta-corridor-links-industry-with-clean-h2-and-offshore-ccs-sol.html",,,,,,"Link 1","Link 2","","","","",""
"Denbury / Mitsubishi Gulf Coast ammonia project (TBD)",127,"United States","Mitsubishi, ExxonMobil (formerly Denbury carbon solutions)","T&S",2021,,,,"Planned",,1.8,1.8,"T&S","Dedicated storage",,"North America","https://www.businesswire.com/news/home/20210921005260/en/Denbury-Executes-Term-Sheet-with-Mitsubishi-Corporation-for-CO2-Transport-and-Storage-from-Ammonia-Project","https://www.mitsubishicorp.com/jp/en/pr/archive/2021/html/0000047790.html",,,,,,"Link 1","Link 2","","","","",""
"Diamond Vault (LA)",879,"United States","Cleco Power LLC, Battelle, Sargebt abd Kybdy ","Storage",2023,,,,"Planned",,3.5,3.5,"Storage","Dedicated storage",,"North America","https://ccusmap.com/markers/project-detail/diamond-vault",,,,,,,"Link 1","","","","","",""
"Donghae CCS Project (capture sources under evaluation)",373,"South Korea"," Korea National Oil Corporation and partners","T&S",2022,2024,2025,,"Planned",,1.2,1.2,"T&S","Dedicated storage",,"Other Asia Pacific","https://pmt.honeywell.com/us/en/about-pmt/newsroom/press-release/2021/11/sk-innovation-to-use-honeywell-technology-for-carbon-capture-and-sequestration-feasibility-study-in-korea?utm_medium=social&utm_source=everyonesocial&es_id=41eb30e602","https://en.yna.co.kr/view/AEN20211118006300320","http://www.koreaherald.com/view.php?ud=20210831000937","https://splash247.com/hyundai-heavy-develops-offshore-co2-storage-platform/","https://www.kedglobal.com/newsView/ked202105260012","https://fuelcellsworks.com/news/abs-awards-aip-to-hhi-groups-green-hydrogen-production-platform-and-carbon-dioxide-injection-platform-design/","https://www.hdec.kr/en/newsroom/news_view.aspx?NewsSeq=819&NewsType=LATEST&NewsListType=news_list","Link 1","Link 2","Link 3","Link 4","Link 5","Link 6","Link 7"
"Dorado (TX)",884,"United States","ExxonMobil (former Denbury Carbon Solutions)","Storage",2022,,2026,,"Planned",,"5 - 10",5,"Storage","Dedicated storage","Dorado (TX)","North America","https://www.denbury.com/operations/carbon-solutions/carbon-sequestration/","https://s201.q4cdn.com/317576541/files/doc_presentation/2023/02/DEN-March-Presentation-vFINAL.pdf",,,,,,"Link 1","Link 2","","","","",""
"Dos Bocas refinery",453,"Mexico","Pemex","Capture",,,,,"Planned",,,,"Other fuel transformation","Unknown/unspecified",,"North America",,,,,,,,"","","","","","",""
"Dow Fort Saskatchewan Path2Zero (ALB)",129,"Canada","Dow Chemical, Linde, Fluor, Wolf Midstream","Capture",2021,2023,2029,,"Under construction",,,,"Chemicals","Unknown/unspecified","Alberta Carbon Trunk Line (ACTL)","North America","https://ihsmarkit.com/research-analysis/dow-to-build-first-netzero-ethylene-derivatives-complex-in-alb.html","https://corporate.dow.com/en-us/news/press-releases/dow-announces-plan-to-build-world-s-first-net-zero-carbon-emissi","https://cen.acs.org/environment/greenhouse-gases/Dow-details-plan-decarbonize-petrochemical/99/i37#:~:text=Its%20biggest%20initiative%20is%20to,the%20entire%20site%20by%202029","https://fuelcellsworks.com/news/dow-selects-linde-as-clean-hydrogen-and-nitrogen-partner-for-its-proposed-net-zero-carbon-emissions-ethylene-and-derivatives-complex-in-canada/","https://www.nsenergybusiness.com/news/dow-feed-contract-fluor-canadian-ethylene-derivatives-complex/","https://calgaryherald.com/opinion/columnists/varcoe-dow-to-invest-8-8-billion-in-alberta-net-zero-petrochemical-project",,"Link 1","Link 2","Link 3","Link 4","Link 5","Link 6",""
"Draco (LA)",880,"United States","ExxonMobil (formerly Denbury carbon solutions)","Storage",2022,,2026,,"Planned",,"5 - 10",5,"Storage","Unknown/unspecified",,"North America","https://ccusmap.com/markers/project-detail/denbury-draco","https://oilandgaswatch.org/facility/6887","https://www.denbury.com/operations/carbon-solutions/carbon-sequestration/","https://s201.q4cdn.com/317576541/files/doc_presentation/2023/02/DEN-March-Presentation-vFINAL.pdf",,,,"Link 1","Link 2","Link 3","Link 4","","",""
